Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,outcome_id,subgroup_id,outcome_name,subgroup_name,effect_size,lower_ci,upper_ci
Zheng 2015,25/153,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to non‐serious adverse events,26,Zheng,,,,,,
Çetin 2015,7/73,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to non‐serious adverse events,26,Çetin,,,,,,
1 Central nervous system Show forest plot,,,Other data,No numeric data,Patient reports/series: number of participants with serious adverse events,29,1,,Central nervous system,,,,
Study,,,,,Patient reports/series: number of participants with serious adverse events,29,Study,,,,,,
Psychotic conditions,Psychotic conditions,,,,Patient reports/series: number of participants with serious adverse events,29,Psychotic,,,,,,
Abali 2007,"A 14‐year‐old girl with diagnoses of ADHD (attention deficit hyperactivity disorder), major depression and conduct disorder. During her treatment with methylphenidate of 20 mg/day and fluoxetine of 20 mg/day, she developed visual and auditory hallucinations. It may be concluded that it is possible that methylphenidate may cause hallucinations in patients treated simultaneously with fluoxetine",,,,Patient reports/series: number of participants with serious adverse events,29,Abali,,,,,,
Aguilera‐Albesa 2010,"2 case reports of the appearance of hallucinations a few hours after methylphenidate ingestion in an 8‐year‐old boy (extended‐release methylphenidate of 18 mg/day, given once daily for 2 days) and a 6‐year‐old girl (extended‐release methylphenidate of 10 mg/day for 3 days and 20 mg/day for 1 day, given once a day). Both diagnosed with ADHD according to criteria in the DSM‐IV (Diagnostic and Statistical Manual, Fourth Edition) and with IQs (intelligence quotients) > 85. These case reports suggest an individual susceptibility to psychotic symptoms after taking methylphenidate. This adverse event is considered idiosyncratic, extraordinary and unpredictable",,,,Patient reports/series: number of participants with serious adverse events,29,Aguilera‐Albesa,,,,,,
Coşkun 2008,"A paediatric patient who developed tactile and visual hallucinations with the combination of osmotic release oral system (OROS) methylphenidate and fluoxetine. Comments from the study authors: In conclusion, we think that the causative agent was the combination of both medications rather than either medication alone. However, in either situation, it is important to note that this distressing side effect may occur even in the absence of underlying psychotic or substance‐related disorders, and clinicians' awareness is important in this issue, particularly in cases where polypharmacy is considered",,,,Patient reports/series: number of participants with serious adverse events,29,Coşkun,,,,,,
Goetz 2011,A case report of nocturnal visual hallucinations during methylphenidate treatment. A girl with ADHD and ODD (oppositional defiant disorder) experienced a 3‐hour episode of nocturnal complex bizarre visual hallucinations when treated with 18 mg of OROS methylphenidate. Nocturnal polysomnography performed 2 weeks later revealed REM (rapid eye movement) sleep reduction (17%) and fragmentation. 2 episodes of confusional arousals were recorded. This finding is typical of parasomnia associated with NREM sleep – disorder of arousal. It is hypothesized that this pre‐existing sleep impairment represents a factor of vulnerability to methylphenidate sleep side effects,,,,Patient reports/series: number of participants with serious adverse events,29,Goetz,,,,,,
Gross‐Tsur 2004,"3 children with ADHD, who were treated with low doses of methylphenidate and who developed complex visual and haptic hallucinations Comments from the study authors: The causal role of methylphenidate in the development of hallucinations was based on their appearance after ingestion of the drug, resolving after its withdrawal, and the absence of psychiatric comorbidity that could explain such phenomena. In 1 patient, the hallucinations reappeared after an inadvertent re‐challenge. Because methylphenidate is a widely used, well‐studied, and safe pharmacologic agent, physicians who prescribe methylphenidate should be aware of even rare adverse manifestations occurring at therapeutic doses",,,,Patient reports/series: number of participants with serious adverse events,29,Gross‐Tsur,,,,,,
Halevy 2009,"Several days after initiation of treatment: visual hallucinations of rats, accompanied by some tactile hallucinations. Only present during the time the patient was under the influence of methylphenidate and disappeared thereafter; immediate complete resolution upon discontinuation of the drug. Reintroduction of metyhlphenidate treatment after 2 days resulted in same complex visual hallucinations, with immediate complete resolution upon discontinuation of the drug Key conclusions of the study authors: In our case, the occurrence of hallucinations after a very low dose of methylphenidate on 2 occasions may suggest an idiosyncratic reaction. The phenomenon might also be explained by a drug‐induced dysfunction of the monoamine transmitters. Given the wide use of methylphenidate, clinicians should be aware of this possible side effect",,,,Patient reports/series: number of participants with serious adverse events,29,Halevy,,,,,,
Irmak 2014,"A case report of phobias and visual hallucinations during methylphenidate treatment in a 9‐year‐old boy. OROS methylphenidate gradually titrated up to 1 mg/kg. Methylphenidate prescribed at initial ADHD diagnosis and then withdrawn following the onset of phobias and visual hallucinations, as well as lack of improvement in attention problems",,,,Patient reports/series: number of participants with serious adverse events,29,Irmak,,,,,,
Mino 1999,"A case report on methylphenidate‐induced psychosis in an adolescent with hyperkinetic disorder; use of methylphenidate for 1 month. Three weeks after starting methylphenidate (10 mg/day), the mother reported by telephone that the patient seemed depressed. Dose of methylphenidate was reduced to 5 mg/day. A week later the patient visited the clinic. The therapist diagnosed her condition as a depressive state and discontinued methylphenidate. Six weeks after discontinuation of methylphenidate she was diagnosed with a schizophrenic‐like psychotic state, due to symptoms of delusions of reference and persecution, delusional mood, silly smile and thought block. There was no evident hallucination. The patient took antipsychotic medication for 2 months and her psychotic symptoms disappeared",,,,Patient reports/series: number of participants with serious adverse events,29,Mino,,,,,,
Porfirio 2011,"3 years after start of methylphenidate treatment: An episode of complex visual hallucinations (dramatic scenes appearing before going to sleep, sometimes during the day after ingestion of methylphenidate",,,,Patient reports/series: number of participants with serious adverse events,29,Porfirio,,,,,,
Rashid 2007,"A case report of intensified somatic hallucinations during dose increase of methylphenidate treatment in a 10‐year‐old boy with a chronic pattern of somatization, which evolved into overt somatic hallucinations with an increase in methylphenidate dosage. This pattern of somatization was retrospectively recognized as partial somatic hallucinations",,,,Patient reports/series: number of participants with serious adverse events,29,Rashid,,,,,,
Shibib 2009,"A report of four cases of psychosis during methylphenidate treatment Key conclusion of the study authors: Psychosis is an important, unpredictable side effect of stimulant medication. Symptoms resolve with discontinuation of treatment. Reemergence of ADHD symptoms are rapid and re‐challenge is often indicated. It would be advisable for all professionals involved in the care and treatment of patients with ADHD to receive mental health training to aid the early recognition and appropriate management of such side effects",,,,Patient reports/series: number of participants with serious adverse events,29,Shibib,,,,,,
Tomás Vila 2010a,"After two weeks of 50% immediate‐release and 50% extended‐release methylphenidate: visual hallucinations (insects on hands, feet, abdomen and thorax), with associated itching, initiated two hours after ingestion and ceased five hours after. Discontinuation of methylphenidate and initiation of risperidone resulted in no visual hallucinations. No re‐administration of methylphenidate due to ethical reasons Key conclusions of the study authors: This is the first case report of visual hallucinations caused by 50% immediate‐release and 50% extended‐release methylphenidate, which is not surprising considering the relative recent appearance of this preparation on the market",,,,Patient reports/series: number of participants with serious adverse events,29,Tomás,,,,,,
Seizures,Seizures,,,,Patient reports/series: number of participants with serious adverse events,29,Seizures,,,,,,
Feeney 1997,First‐reported seizure in a patient being treated with methylphenidate and sertraline combined,,,,Patient reports/series: number of participants with serious adverse events,29,Feeney,,,,,,
Hemmer 2001,"Reported seizures in a boy aged six, and two girls aged six and seven, receiving 0.3 to 1 mg/kg/day of methylphenidate for six weeks, 10 and three months, respectively",,,,Patient reports/series: number of participants with serious adverse events,29,Hemmer,,,,,,
Cerebral arteritis,Cerebral arteritis,,,,Patient reports/series: number of participants with serious adverse events,29,Cerebral,,,,,,
Trugman 1988,"Key conclusions of the study authors: Cerebral arteritis and infarction were caused by chronic use of oral methylphenidate. The Cerebrospinal fluid (CSF) profile and angiogram support the diagnosis of inflammatory arteritis, yet laboratory evaluation revealed no identifiable cause. In the six years since the stroke, while not on methylphenidate, there has been no evidence of active central nervous system or systemic vasculitis",,,,Patient reports/series: number of participants with serious adverse events,29,Trugman,,,,,,
Self‐harm and suicidal behaviour,Self‐harm and suicidal behaviour,,,,Patient reports/series: number of participants with serious adverse events,29,Self‐harm,,and su,,,,
Arun 2014,2 case reports with 2 children having suicidal ideation,,,,Patient reports/series: number of participants with serious adverse events,29,Arun,,,,,,
Gökce 2015,Reported a 12‐year‐old boy who made a suicide attempt after switching from 27 mg to 36 mg of OROS methylphenidate: The patient reported irritable mood when he took the first dose of 36 mg of long‐acting methylphenidate. This might be the cause of the suicide attempt. He had a full recovery after withdrawal from methylphenidate,,,,Patient reports/series: number of participants with serious adverse events,29,Gökce,,,,,,
Strandell 2007,"Reported concerns about suicidal behaviour, including suicide, based on information retrieved from the WHO Collaborating Centre for International Drug Monitoring (Uppsala, Sweden). A total of 116 reports of methylphenidate related to ""suicide attempts"", although this term was not explicitly defined. The data included reports of methylphenidate and atomoxetine",,,,Patient reports/series: number of participants with serious adverse events,29,Strandell,,,,,,
Death,Death,,,,Patient reports/series: number of participants with serious adverse events,29,Death,,,,,,
Tølløfsrud 2006,A case report of death caused by heart failure (acute dilated cardiomyopathy) during methylphenidate treatment,,,,Patient reports/series: number of participants with serious adverse events,29,Tølløfsrud,,,,,,
Dyskinesia,Dyskinesia,,,,Patient reports/series: number of participants with serious adverse events,29,Dyskinesia,,,,,,
Yilmaz 2013,"Involuntary movements started about 5 hours after taking MPH. Lip‐licking, lip‐smacking and tongue‐rolling movements. Dyskinetic tongue movements inside and outside the mouth and involuntary bilateral arm swinging while sitting and standing. Opening and closing his fingers without complete extension. Occasional repetitive movements of the feet, such as beating them against each other while sitting. About 15 hours after MPH intake both hand‐mouth movements and excessive mobility had significantly resolved. Dyskinetic symptoms had completely disappeared on the second day of hospitalization, and the patient was discharged Key conclusions of the study authors: This case is reported to emphasize the potential side effects of methylphenidate, individual differences in drug sensitivities, and drug‐receptor interactions via different mechanisms",,,,Patient reports/series: number of participants with serious adverse events,29,Yilmaz,,,,,,
1.1 Psychotic conditions,,,Other data,No numeric data,Patient reports/series: number of participants with serious adverse events,29,1,1,,Psychotic conditions,,,
1.2 Seizures,,,Other data,No numeric data,Patient reports/series: number of participants with serious adverse events,29,1,2,,Seizures,,,
1.3 Cerebral arteritis,,,Other data,No numeric data,Patient reports/series: number of participants with serious adverse events,29,1,3,,Cerebral arteritis,,,
1.4 Self‐harm and suicidal behaviour,,,Other data,No numeric data,Patient reports/series: number of participants with serious adverse events,29,1,4,,Self‐harm and suicidal behaviour,,,
1.5 Death,,,Other data,No numeric data,Patient reports/series: number of participants with serious adverse events,29,1,5,,Death,,,
1.6 Dyskinesia,,,Other data,No numeric data,Patient reports/series: number of participants with serious adverse events,29,1,6,,Dyskinesia,,,
2 Cardiovascular and respiratory system Show forest plot,,,Other data,No numeric data,Patient reports/series: number of participants with serious adverse events,29,2,,Cardiovascular and respiratory system,,,,
Study,,,,,Patient reports/series: number of participants with serious adverse events,29,Study,,,,,,
Cardiovascular events,Cardiovascular events,,,,Patient reports/series: number of participants with serious adverse events,29,Cardiovascular,,,,,,
Munk 2015,"The present case demonstrates that myocardial infarction can occur due to methylphenidate exposure in a healthy 11‐year‐old boy, without other known cardiovascular risk factors. 54 mg methylphenidate/day. Treatment duration was 2 years. Cardiac arrest followed exercise without prior complaints of chest pain/discomfort or shortness of breath. A week before the event, he had a short episode of tachycardia. Clinical examination showed that the myocardial infarct was not acute but had occurred weeks prior to the cardiac arrest. It was thought to be due to thinning of the myocardium and an adversely remodelled left ventricle. A pacemaker was inserted and methylphenidate treatment was discontinued. The only apparent cause, after extensive assessment, appeared to be the high‐dose methylphenidate treatment (maximum recommended) over an extended period",,,,Patient reports/series: number of participants with serious adverse events,29,Munk,,,,,,
Nymark 2008,"A case report of serious cardiomyopathy during MPH treatment. Serious cardiovascular adverse effects (hypoxia and dyspnoea requiring hospitalisation) after 11 months of MPH treatment. Clinical examination showed signs of liver failure, renal failure and heart failure Comments of the study authors (Nymark et al): With a BMI of 40 our patient had extreme obesity. The hyperdynamic circulation, with increased cardiac output, was thought to be a compensatory adaptation to increased adipose tissue. This may have led to non‐ischaemic dilated cardiomyopathy at the expense of left ventricular hypertrophy and remodeling as may occur in severely obese subjects (McGavock et al 2006). This is, however, unlikely as the only cause in our young patient. Human obesity is also characterized by sympathetic nervous system activation (Eikelis and Esler 2005). A possible obesity‐linked susceptibility to the toxic effect of methylphenidate could therefore play a role in the development of DCM in our patient, especially with regards to the short treatment time of one year",,,,Patient reports/series: number of participants with serious adverse events,29,Nymark,,,,,,
Hypertension,Hypertension,,,,Patient reports/series: number of participants with serious adverse events,29,Hypertension,,,,,,
Saieh 2004,"A case report of hospitalisation due to hypertension during MPH treatment Serious adverse events 72‐hour hospitalisation, emergency unit Abdominal pain for four days prior to hospitalisation, intermittent accentuation (hours), no other symptoms Secondary hypertension: Persistent hypertension (158/88‐170/105, pulse: 78‐98 bpm). Normal physical examination. Normal eye fundus and normal cardiological examination Discontinuation of MPH: Hypertensive treatment only necessary for 24 hours Normal blood pressure after one week",,,,Patient reports/series: number of participants with serious adverse events,29,Saieh,,,,,,
2.1 Cardiovascular events,,,Other data,No numeric data,Patient reports/series: number of participants with serious adverse events,29,2,1,,Cardiovascular events,,,
2.2 Hypertension,,,Other data,No numeric data,Patient reports/series: number of participants with serious adverse events,29,2,2,,Hypertension,,,
3 Gastrointestinal system: hepatoxicity Show forest plot,,,Other data,No numeric data,Patient reports/series: number of participants with serious adverse events,29,3,,Gastrointestinal system: hepatoxicity,,,,
Study,,,,,Patient reports/series: number of participants with serious adverse events,29,Study,,,,,,
Bernhard 2009,"A hepatotoxic reaction Liver enzymes were elevated prior to therapy. Vomiting starting 5 weeks after onset of methylphenidate therapy and increased within the next 3 days. Abdominal pain increased in intensity. Liver transaminases elevated over 30 times of the normal level, CK level also increased",,,,Patient reports/series: number of participants with serious adverse events,29,Bernhard,,,,,,
4 Urogenital system: priapism Show forest plot,,,Other data,No numeric data,Patient reports/series: number of participants with serious adverse events,29,4,,Urogenital system: priapism,,,,
Study,,,,,Patient reports/series: number of participants with serious adverse events,29,Study,,,,,,
Cakin‐Memik 2010,"A case report of a 14‐year‐old male with attention deficit hyperactivity disorder (ADHD) who presented with priapism after administration of immediate‐release methylphenidate. When the usage of immediate‐release methylphenidate was terminated, priapism spontaneously disappeared",,,,Patient reports/series: number of participants with serious adverse events,29,Cakin‐Memik,,,,,,
Schwartz 2004,A case report of a 15‐year‐old white male with ADHD (inattention subtype) who experienced painful erections two weeks after beginning sustained release (OROS) MPH and repeated painful erections that increased with increased doses (during withdrawal). MPH use for more than 2 months. It is likely that withdrawal from OROS methylphenidate was the cause of this adolescent boy's priapism. He was embarrassed to disclose the problem to an adult until it became quite severe. It is possible that this adverse event is under‐reported due to sensitivity and embarrassment of young people,,,,Patient reports/series: number of participants with serious adverse events,29,Schwartz,,,,,,
1 Central nervous system: movement‐related outcomes Show forest plot,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,1,,Central nervous system: movement‐related outcomes,,,,
Study,,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Study,,,,,,
Tics,Tics,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Tics,,,,,,
Adrian 2001,"A case report of a boy aged 10 years referred to a tertiary neurodevelopmental assessment clinic for a second opinion on the management of his ADHD. He started with 20 mg/day of methylphenidate at 7 years of age and gradually increased to 40 mg/day, for 2 to 3 years. Both motor and vocal tics started at 40 mg/day of methylphenidate and subsided spontaneously after a year of treatment Authors' conclusion: The clinically explosive outbursts of tics were coincident with a period of treatment with methylphenidate for the treatment of ADHD (attention deficit hyperactivity disorder) and should not be mistaken for a symptom of the disorder",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Adrian,,,,,,
Chandler 1989,"Reported non‐serious adverse events. After a month, the child's mother reported motor and phonic tics again. He was treated first with methylphenidate and then with nortriptyline. With both drugs he manifested severe facial grimacing and phonic tics; apparently, the tics had only occurred in the past when the child was treated with methylphenidate. It is, however, very difficult to attribute the tics to methylphenidate with any certainty because of the common co‐occurrence of tics in children and young people with ADHD Key conclusions of the study authors: Side effects, such as hypomania, hyperreflexia and diaphoresis, have been reported in patients being treated with a combination of a monoamine oxidase inhibitor and tryptophan. By itself, L‐tryptophan may be mildly sedating. In light of such a favourable side‐effect profile, combined with no evidence for adverse interaction with stimulants, and at least some rationale from preclinical research, it should be investigated further as a means of alleviating some of the harsh consequences of psychostimulant treatment in ADHD",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Chandler,,,,,,
Involuntary movements or dyskinesia,Involuntary movements or dyskinesia,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Involuntary,,movemen,,,,
Hollis 2007,A case report of acute and transient dyskinesia occurring within hours of taking modified‐release methylphenidate (Concerta XL) in a stimulant‐naïve 7‐year‐old boy who had recently stopped taking risperidone Key conclusions of the study authors: This report is the first of a dyskinesia occurring after a single first dose of methylphenidate in a previously stimulant‐naïve patient after neuroleptic withdrawal. It is also the first to link this effect with modified‐release methylphenidate. The dyskinesia described here consisted of both brief tic‐like movements,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Hollis,,,,,,
Machado 2010,"Choreoathetoid movements of orofacial muscles, arms and legs, with transient dystonic postures of the right arm induced by a single dose of extended‐release methylphenidate. Author believes that the immediate response ensuing chlorpromazine prescription argues in favour of a specific role for dopamine receptor antagonists in methylphenidate‐induced chorea",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Machado,,,,,,
McLaren 2010,"The patient experienced spasmodic muscular contractions of his jaw. The staff noticed a forceful jaw closure, contraction and tension, and the patient had difficulties opening his mouth. 50 mg of diphenhydramine was administered intramuscularly and the patient could open his mouth within 30 minutes and with no further dystonia",,,,Patient reports/series: number of participants with non‐serious adverse events,34,McLaren,,,,,,
1.1 Tics,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,1,1,,Tics,,,
1.2 Involuntary movements or dyskinesia,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,1,2,,Involuntary movements or dyskinesia,,,
2 Central nervous system: mood disorders Show forest plot,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,2,,Central nervous system: mood disorders,,,,
Study,,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Study,,,,,,
Depression and disturbed mood,Depression and disturbed mood,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Depression,,an,,,,
Hechtman 2011,"A case report about a 5‐year‐old boy. MPH use for around a year. Reported non‐serious adverse events. In late afternoon and early evening, he became very emotional, with frequent crying, marked irritability and many tantrums. The emotional side effects subsided after he discontinued methylphenidate treatment",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Hechtman,,,,,,
Mino 1999,"3 weeks after starting on 10 mg/day of methylphenidate, the mother reported by telephone that the patient seemed depressed. The dose of methylphenidate was reduced to 5 mg/day. A week later the patient visited the clinic. The therapist diagnosed her condition as a depressive state and discontinued methylphenidate. 6 weeks after discontinuation of methylphenidate, she was diagnosed with a schizophrenic‐like psychotic state, due to symptoms of delusions of reference and persecution, delusional mood, silly smile and thought block. There was no evident hallucination. The patient took antipsychotic medication for 2 months and her psychotic symptoms disappeared",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Mino,,,,,,
Niederhofer 2009,"An 11‐year‐old boy received 20 mg/day of methylphenidate for 2 months, which led to depressed mood and appetite loss",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Niederhofer,,,,,,
Irritability,Irritability,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Irritability,,,,,,
Hechtman 2011,"A case report about a boy, who became very emotional, with frequent crying episodes, marked irritability and many tantrums when treated with methylphenidate; methylphenidate was used for around a year",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Hechtman,,,,,,
Sabuncuoglu 2007,"3 case reports of hyperactivity and irritability during switch from risperidone to methylphenidate Case 1: Methylphenidate introduced 2 days after abrupt discontinuation of 1 mg/day of risperidone (8 months), and produced agitation, irritability, vigilance, and violent behavior. No dyskinetic movements. Methylphenidate was discontinued and the adverse events disappeared. After a 6‐week long, drug‐free period, methylphenidate was reintroduced at 15 mg/day. No adverse events were observed Case 2: Methylphenidate introduced after discontinuation of 1 mg/day of risperidone (2 years), and produced a near manic state, irritability, agitation, racing thoughts, and distractibility. No dyskinetic movements. Methylphenidate was discontinued and the adverse events disappeared. After a couple of months, methylphenidate was reintroduced at 15 mg/day and was well‐tolerated Case 3: Methylphenidate introduced after a 1‐week medication‐free interval after treatment with 1 mg of risperidone, and produced irritability, agitation and discomfort. Methylphenidate was discontinued and the adverse events disappeared. The patient did not retry the medication Key conclusions of the study authors: This report of 3 patients draws attention to a unique condition that arises in switching from an atypical antipsychotic to stimulant medication. A drug‐free interval is recommended in switching from risperidone to methylphenidate",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Sabuncuoglu,,,,,,
Aggression,Aggression,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Aggression,,,,,,
Coignoux 2009,A case report of a 14‐year‐old boy receiving methylphenidate for 2 years who developed gestural stereotypies and verbal aggressiveness towards his parents whilst on methylphenidate treatment,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Coignoux,,,,,,
Niederhofer 2011,"A case series describing adverse effects (xerostomia, aggression and emotional instability) among children taking methylphenidate",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Niederhofer,,,,,,
Mania/euphoria,Mania/euphoria,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Mania/euphoria,,,,,,
Corrigall 1996,A case report of methylphenidate euphoria in an 11‐year‐old boy diagnosed with hyperkinetic disorder Key conclusions of the study authors: Methylphenidate euphoria can occur in young prepubertal children and this may lead to abuse of medication,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Corrigall,,,,,,
Ghanizadeh 2009,Mother and nursery teacher complained about increased hyper‐talkativity starting about 45 minutes after taking medication. The increased hyper‐talkativity continued for about 3–4 hours. They scored the hyper‐talking as 7–9 on a 1–10 visual analogue scale. Re‐challenge was conducted many times (more than 20 times) and hyper‐talking reoccurred after every time he took the medication,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Ghanizadeh,,,,,,
2.1 Depression and disturbed mood,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,2,1,,Depression and disturbed mood,,,
2.2 Irritability,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,2,2,,Irritability,,,
2.3 Aggression,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,2,3,,Aggression,,,
2.4 Mania/euphoria,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,2,4,,Mania/euphoria,,,
3 Central nervous system: sleep problems Show forest plot,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,3,,Central nervous system: sleep problems,,,,
Study,,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Study,,,,,,
Disturbed sleep,Disturbed sleep,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Disturbed,,,,,,
Langevin 2012,"A controlled before‐and‐after study. Methylphenidate used to treat ADHD (attention deficit hyperactivity disorder), from December (time 1) to June (time 2) Key conclusions of the study authors: The principal results support the study's hypothesis and show a significant baseline difference (P = 0.008) between the nocturnal movements of children with ADHD and those of children in the control group",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Langevin,,,,,,
Other sleep problems,Other sleep problems,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Other,,,,,,
Arun 2014,A case report of a child whose sleep was impaired for 1 night after receiving methylphenidate,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Arun,,,,,,
Coşkun 2010,A case series of 7 children who experience side effects during methylphenidate treatment: Sleep problems: n = 4 Worsening of pre‐existing sleep problems: n = 2 No worsening of pre‐existing sleep problems: n = 1,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Coşkun,,,,,,
3.1 Disturbed sleep,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,3,1,,Disturbed sleep,,,
3.2 Other sleep problems,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,3,2,,Other sleep problems,,,
4 Central nervous system: voice and speech disorders Show forest plot,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,4,,Central nervous system: voice and speech disorders,,,,
Study,,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Study,,,,,,
Voice problems,Voice problems,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Voice,,,,,,
Yalcin 2012,"Teacher and family observed disturbance of voice quality, hoarseness, bifurcation‐strain and over vibration of voice. The symptoms began on the first day of treatment with methylphenidate. Hoarseness and reduction in the voice amplitude was evident during the first visit to a psychiatric out‐hospital clinic. No symptoms were observed by parents or during the psychiatric control on drug‐free days. Experienced hoarseness when methylphenidate administered in the clinic. Voice quality returned to normal three hours after ingestion. Laryngitis or other organic conditions causing hoarseness were not observed in physical and endoscopic examination. There were no important side effects with discontinuation of methylphenidate and administration of atomoxetine",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Yalcin,,,,,,
Stuttering,Stuttering,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Stuttering,,,,,,
Alpaslan 2015,"A case report of a 7‐year‐old boy who developed stuttering associated with the use of methylphenidate; received 10 mg/daily of short‐acting methylphenidate. 10 days after beginning treatment with short‐acting methylphenidate, the client began to stutter. Treatment was stopped. 1 week later, the patient's speech was back to normal. 4 weeks later atomoxetine treatment was started with no recurrence of stuttering",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Alpaslan,,,,,,
4.1 Voice problems,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,4,1,,Voice problems,,,
4.2 Stuttering,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,4,2,,Stuttering,,,
5 Central nervous system: other specific adverse events Show forest plot,,,Other data,No numeric data,Patient reports/series: number of participants with non‐serious adverse events,34,5,,Central nervous system: other specific adverse events,,,,
Study,,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Study,,,,,,
Anorexia,Anorexia,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Anorexia,,,,,,
Findling 1996,"A case report about an 11‐year‐old girl who experienced transient side effects after receiving methylphenidate: mild and transient anorexia, transient weight loss of 2 kg observed in the initiation of methylphenidate therapy",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Findling,,,,,,
Obsessive compulsive disorder (OCD) symptoms,Obsessive compulsive disorder (OCD) symptoms,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Obsessive,,compulsive disorde,,,,
Coşkun 2011,"A case report of OCD symptoms during methylphenidate treatment. Decreased appetite and initial headache with 18 mg/day of osmotic‐controlled release oral delivery system (OROS) methylphenidate, and obsessive‐compulsive symptoms, decreased appetite, facial grimace, and nail picking/biting with 27 mg/day of OROS methylphenidate. Gradual disappearance of symptoms, although still subsyndromal obsessive‐compulsive symptoms, with discontinuation of medication. Mild facial grimace and similar obsessive‐compulsive symptoms with re‐administration of 27 mg/day of OROS methylphenidate. After three weeks, total score of 21 on Children's Yale‐Brown Obsessive‐Compulsive Scale (CY‐BOCS)",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Coşkun,,,,,,
Woolley 2003,"Obsessions and compulsions with anxiety. DSM‐IV (Diagnostic and Statistical Manual of Mental Disorders, Fourth Edtion) diagnosis of OCD. Washing hands excessively, which was accompanied by checking rituals, reassurance seeking, and emetophobia. When methylphenidate was withdrawn, OCD symptoms decreased rapidly but increased when methylphenidate was reintroduced",,,,Patient reports/series: number of participants with non‐serious adverse events,34,Woolley,,,,,,
Headache,Headache,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Headache,,,,,,
Mize 2004,A case report of headache and mild depression during methylphenidate treatment,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Mize,,,,,,
EEG changes,EEG changes,,,,Patient reports/series: number of participants with non‐serious adverse events,34,EEG,,,,,,
Dupuy 2008,A controlled before‐and‐after study investigating the effects of stimulants on EEG (electroencephaolography) coherence in 9 girls with ADHD (attention deficit hyperactivity disorder); intrahemispheric and interhemispheric coherences in girls with ADHD who were treated with stimulant medication. Girls had elevated frontal coherence in all frequency bands,,,,Patient reports/series: number of participants with non‐serious adverse events,34,Dupuy,,,,,,
